City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Hasaki,JP,35.7333,140.8333,68.29,73,93,5.48,overcast clouds
152,Tuktoyaktuk,CA,69.4541,-133.0374,33.62,78,98,9.31,overcast clouds
153,Fredonia,US,42.4401,-79.3317,67.05,72,70,7.18,broken clouds
154,Katangli,RU,51.7102,143.2326,46.96,62,13,5.73,few clouds
155,Kargasok,RU,59.0556,80.8572,64.72,70,88,13.44,overcast clouds
156,Garden City,US,42.3256,-83.331,72.88,47,100,1.99,overcast clouds
157,Bataipora,BR,-22.2953,-53.2711,66.31,93,78,4.29,broken clouds
158,Llata,PE,-9.4167,-76.7833,52.3,89,97,4.99,overcast clouds
159,San Patricio,US,28.017,-97.5169,85.17,63,90,13.47,overcast clouds
160,Tessalit,ML,20.1986,1.0114,94.33,7,1,15.57,clear sky
161,Aswan,EG,24.0934,32.907,93.51,11,49,10.4,scattered clouds
162,Kahului,US,20.8947,-156.47,90.34,80,55,14.0,broken clouds
163,Antalaha,MG,-14.9003,50.2788,70.29,84,0,6.6,clear sky
164,Denpasar,ID,-8.65,115.2167,74.86,94,20,3.2,few clouds
165,Ayan,RU,56.45,138.1667,43.56,85,98,4.68,overcast clouds
166,Arvin,US,35.2091,-118.8284,105.71,8,2,11.27,clear sky
167,Walvis Bay,NA,-22.9575,14.5053,54.09,77,0,15.37,clear sky
168,Clyde River,CA,70.4692,-68.5914,29.28,92,51,2.24,broken clouds
169,Donghai,CN,22.9459,115.642,77.65,94,100,5.1,overcast clouds
170,Gangtok,IN,27.3333,88.6167,60.15,90,85,2.1,overcast clouds
171,Nanakuli,US,21.3906,-158.1547,89.04,58,28,2.82,scattered clouds
172,Abha,SA,18.2164,42.5053,69.67,18,2,7.11,clear sky
173,Kivsharivka,UA,49.6213,37.7036,50.41,82,100,11.21,overcast clouds
174,Nioro,GM,13.35,-15.75,77.67,64,95,9.66,overcast clouds
175,Dunedin,NZ,-45.8742,170.5036,48.79,62,68,8.01,broken clouds
176,Tasiilaq,GL,65.6145,-37.6368,39.36,82,77,1.41,broken clouds
177,Muscat,OM,23.6139,58.5922,93.69,37,22,8.9,few clouds
178,Mesen,BE,50.7658,2.8976,62.53,78,1,3.0,clear sky
179,Kandrian,PG,-6.2167,149.55,79.03,92,100,9.42,heavy intensity rain
180,Sabratah,LY,32.7933,12.4885,75.69,45,69,12.73,broken clouds
181,Sao Filipe,CV,14.8961,-24.4956,73.53,78,49,9.51,scattered clouds
182,Dikson,RU,73.5069,80.5464,28.63,92,100,14.05,overcast clouds
183,Irbit,RU,57.6705,63.071,36.7,81,30,3.98,scattered clouds
184,Namibe,AO,-15.1961,12.1522,70.57,65,5,1.97,clear sky
185,Flinders,AU,-34.5833,150.8552,59.38,76,98,4.54,overcast clouds
186,Trinidad,BO,-14.8333,-64.9,71.35,64,100,3.69,overcast clouds
187,Portalegre,PT,39.2938,-7.4312,59.92,90,5,5.08,clear sky
188,Longyearbyen,SJ,78.2186,15.6401,35.44,75,75,4.61,broken clouds
189,Lavrentiya,RU,65.5833,-171.0,35.56,73,66,10.18,broken clouds
190,Pombia,IT,45.653,8.6336,63.21,78,0,4.61,clear sky
191,Eureka,US,40.8021,-124.1637,71.2,63,34,3.0,scattered clouds
192,Esna,EG,25.2934,32.554,92.53,12,13,5.35,few clouds
193,Vao,NC,-22.6667,167.4833,71.1,55,83,18.41,broken clouds
